1	94
2	1088
3	3814
4	2693
5	1907
6	2876
7	720
8	1243
9	107
10	1044
11	560
12	50
13	146
14	1294
15	1207
16	1391
17	171
18	767
19	2181
20	373
21	3190
22	2357
23	970
24	930
25	322
26	116
27	897
28	2970
29	428
30	3002
31	308
32	305
33	392
34	911
35	681
36	92
37	199
38	1278
39	52
40	942
41	2987
42	2297
43	11
44	164
45	718
46	12
47	263
48	2984
49	314
50	1732
51	1090
52	750
53	2179
54	932
55	165
56	363
57	1414
58	2066
59	563
60	157
61	11
62	2814
63	14
64	293
65	52
66	2805
67	28
68	324
69	193
70	1320
71	364
72	2161
73	534
74	14
75	252
76	260
77	144
78	147
79	565
80	41
81	247
82	3584
83	1201
84	497
85	2118
86	39
87	111
88	446
89	70
90	906
91	1994
92	498
93	1942
94	193
95	326
96	1918
97	16
98	314
99	569
100	262
101	1
102	957
103	1080
104	529
105	497
106	1200
107	648
108	449
109	1599
110	308
111	1725
112	593
113	36
114	28
115	36
116	1031
117	2351
118	3678
119	47
120	534
121	62
122	2067
123	767
124	2276
125	903
126	202
127	594
128	345
129	94
130	101
131	2466
132	445
133	8
134	111
135	322
136	1504
137	1362
138	18
139	190
140	1084
141	588
142	307
143	428
144	314
145	2166
146	100
147	1906
148	2651
149	928
150	621
151	443
152	550
153	454
154	529
155	521
156	566
157	3473
158	541
159	1252
160	3217
161	598
162	413
163	715
164	11
165	322
166	1572
167	23
168	1231
169	3833
170	314
171	364
172	1094
173	2079
174	25
175	241
176	150
177	14
178	236
179	3083
180	1251
181	363
182	1429
183	1012
184	11
185	1961
186	47
187	2290
188	1378
189	369
190	416
191	293
192	128
193	877
194	1343
195	1898
196	2693
197	232
198	1296
199	2072
200	1658
201	117
202	2210
203	162
204	726
205	97
206	2699
207	34
208	99
209	1753
210	18
211	364
212	2807
213	1092
214	907
215	15
216	1850
217	482
218	346
219	892
220	262
221	1391
222	100
223	407
224	3872
225	1232
226	147
227	1222
228	34
229	263
230	971
231	147
232	1219
233	1025
234	282
235	1509
236	1300
237	3206
238	2189
239	83
240	100
241	348
242	1554
243	249
244	272
245	2760
246	678
247	2466
248	908
249	306
250	3771
251	1352
252	273
253	1569
254	2653
255	2014
256	25
257	31
258	363
259	670
260	36
261	321
262	1213
263	1503
264	2210
265	1934
266	60
267	2345
268	963
269	233
270	262
271	443
272	37
273	2069
274	187
275	41
276	922
277	3355
278	81
279	1153
280	30
281	18
282	69
283	2706
284	1941
285	35
286	308
287	3150
288	34
289	906
290	595
291	340
292	848
293	680
294	155
295	596
296	2170
297	157
298	50
299	242
300	1605
301	760
302	1069
303	971
304	34
305	500
306	940
307	81
308	997
309	1906
310	764
311	1663
312	2622
313	1260
314	3835
315	703
316	151
317	41
318	2388
319	665
320	1
321	72
322	208
323	670
324	929
325	21
326	126
327	156
328	223
329	96
330	349
331	309
332	53
333	100
334	364
335	1347
336	168
337	1024
338	309
339	2706
340	8
341	1480
342	1084
343	3232
344	892
345	1230
346	198
347	918
348	508
349	3715
350	1028
351	82
352	936
353	308
354	47
355	2357
356	283
357	2
358	261
359	1208
360	991
361	111
362	912
363	100
364	28
365	57
366	1554
367	1290
368	111
369	86
370	161
371	581
372	92
373	15
374	262
375	10
376	13
377	2941
378	1911
379	186
380	123
381	1267
382	573
383	3421
384	1230
385	4
386	2102
387	978
388	903
389	442
390	531
391	900
392	560
393	621
394	1175
395	312
396	2425
397	41
398	565
399	293
400	2759
401	29
402	3038
403	2625
404	2357
405	28
406	35
407	157
408	108
409	2388
410	750
411	56
412	137
413	3422
414	3470
415	3532
416	14
417	648
418	662
419	944
420	492
421	141
422	2747
423	407
424	263
425	2466
426	918
427	1196
428	88
429	764
430	322
431	1942
432	1259
433	844
434	1873
435	1251
436	281
437	788
438	2069
439	100
440	1247
441	500
442	947
443	1873
444	3417
445	933
446	28
447	48
448	25
449	150
450	1729
451	500
452	162
453	2345
454	53
455	917
456	1064
457	973
458	79
459	293
460	2827
461	681
462	123
463	81
464	3616
465	41
466	1544
467	1906
468	938
469	16
470	43
471	668
472	16
473	909
474	847
475	62
476	16
477	670
478	367
479	1906
480	74
481	967
482	309
483	2166
484	339
485	594
486	262
487	1942
488	590
489	16
490	26
491	157
492	47
493	210
494	74
495	2598
496	538
497	3704
498	42
499	309
500	2278
501	3082
502	475
503	903
504	34
505	41
506	457
507	916
508	2593
509	929
